政,195.72,52.600037,17.85,17.85,11.254426,4.4625,16.082855
治,214.33,53.35846,17.85,17.85,11.254426,4.4625,13.673096
獻,230.06,54.08911,17.85,17.85,11.254426,4.4625,16.564804
金,247.9448,54.08911,17.85,17.85,11.254426,4.4625,15.475952
會,265.7,54.08911,17.85,17.85,11.254426,4.4625,14.512054
計,282.61206,54.08911,17.85,17.85,11.254426,4.4625,14.993988
報,299.55002,53.721924,17.85,17.85,11.254426,4.4625,15.832947
告,316.95,53.09552,17.85,17.85,11.254426,4.4625,15.368866
書,335.37888,53.09552,17.85,17.85,11.254426,4.4625,13.673096
查,352.11197,53.09552,17.85,17.85,11.254426,4.4625,14.15506
閱,370.23,53.09552,17.85,17.85,11.254426,4.4625,12.477142
制,386.66718,53.09552,17.85,17.85,11.254426,4.4625,14.404938
度,403.47,53.09552,17.85,17.85,11.254426,4.4625,15.368866
電,421.53885,53.09552,17.85,17.85,11.254426,4.4625,14.047943
腦,438.2868,53.09552,17.85,17.85,11.254426,4.4625,15.725861
系,457.48,53.09552,17.85,17.85,11.254426,4.4625,11.406158
統,472.72617,53.09552,17.85,17.85,11.254426,4.4625,15.368866
查,490.72,53.09552,17.85,17.85,11.254426,4.4625,14.047943
詢,507.64795,53.09552,17.85,17.85,11.254426,4.4625,14.637024
結,524.69,53.09552,17.85,17.85,11.254426,4.4625,15.1189575
果,541.96893,53.09552,17.85,17.85,11.254426,4.4625,14.994019
列,560.21,53.64032,17.85,17.85,11.254426,4.4625,13.191162
印,577.36115,53.64032,17.85,17.85,11.254426,4.4625,13.44104
清,594.06,53.64032,17.85,17.85,11.254426,4.4625,14.637024
單,611.457,53.64032,17.85,17.85,11.254426,4.4625,14.404968
列,691.32,60.960022,9.2,9.2,7.2726,2.3,7.378418
f,700.7984,60.960022,9.2,9.2,7.2726,2.3,3.7167969
p,704.65,60.960022,9.2,9.2,7.2726,2.3,3.7167969
日,711.85004,60.5448,9.2,9.2,7.2726,2.3,4.802429
期,719.9,60.804626,9.2,9.2,7.2726,2.3,8.0407715
：,732.62085,60.804626,9.2,9.2,7.2726,2.3,1.444397
1,739.82,60.804626,9.2,9.2,7.2726,2.3,1.6192017
0,743.3592,60.804626,9.2,9.2,7.2726,2.3,3.781189
3,748.35004,60.804626,9.2,9.2,7.2726,2.3,3.4776
年,753.03,60.804626,9.2,9.2,7.2726,2.3,8.399597
0,762.44965,60.804626,9.2,9.2,7.2726,2.3,3.781189
2,767.19,61.2984,9.2,9.2,7.2726,2.3,3.9008179
年,772.0508,61.2984,9.2,9.2,7.2726,2.3,8.399597
2,781.4104,61.2984,9.2,9.2,7.2726,2.3,3.9559937
0,786.3264,61.2984,9.2,9.2,7.2726,2.3,3.781189
日,793.12,61.898438,9.2,9.2,7.2726,2.3,4.802429
專,207.60999,68.21002,13.9,13.9,8.472051,3.475,11.634308
戶,222.36429,68.21002,13.9,13.9,8.472051,3.475,9.716095
名,235.2004,68.21002,13.9,13.9,8.472051,3.475,10.313797
稱,247.57999,68.21002,13.9,13.9,8.472051,3.475,12.718506
：,266.3,68.21002,13.9,13.9,8.472051,3.475,3.8363953
第,275.8964,68.21002,13.9,13.9,8.472051,3.475,9.604889
1,289.69998,68.21002,13.9,13.9,8.472051,3.475,2.0433044
3,294.86328,68.21002,13.9,13.9,8.472051,3.475,5.0457153
任,301.34998,68.21002,13.9,13.9,8.472051,3.475,12.482208
總,315.2122,68.21002,13.9,13.9,8.472051,3.475,11.759399
統,328.3516,68.21002,13.9,13.9,8.472051,3.475,11.995697
、,346.36,68.21002,13.9,13.9,8.472051,3.475,2.9468079
副,356.09,68.21002,13.9,13.9,8.472051,3.475,10.313812
總,368.8038,68.21002,13.9,13.9,8.472051,3.475,13.316193
統,382.26,68.21002,13.9,13.9,8.472051,3.475,11.995697
擬,394.9757,68.21002,13.9,13.9,8.472051,3.475,13.441315
參,409.13702,68.21002,13.9,13.9,8.472051,3.475,11.884491
選,422.46002,68.21002,13.9,13.9,8.472051,3.475,12.357086
人,436.27002,68.21002,13.9,13.9,8.472051,3.475,11.995697
馬,450.6657,68.21002,13.9,13.9,8.472051,3.475,10.438904
英,463.5046,68.21002,13.9,13.9,8.472051,3.475,11.161713
九,476.59003,68.21002,13.9,13.9,8.472051,3.475,11.884491
、,494.48004,68.21002,13.9,13.9,8.472051,3.475,2.9468079
吳,503.60004,68.21002,13.9,13.9,8.472051,3.475,11.634277
敦,516.7943,68.21002,13.9,13.9,8.472051,3.475,12.120789
義,531.09,68.21002,13.9,13.9,8.472051,3.475,10.313782
政,543.44385,68.21002,13.9,13.9,8.472051,3.475,12.482178
治,557.74005,68.21002,13.9,13.9,8.472051,3.475,10.675171
獻,570.0953,68.21002,13.9,13.9,8.472051,3.475,12.954773
金,584.0201,68.21002,13.9,13.9,8.472051,3.475,12.120789
專,597.70087,68.21002,13.9,13.9,8.472051,3.475,11.634277
戶,612.1101,68.21002,13.9,13.9,8.472051,3.475,9.7161255
1,744.6001,71.170044,9.2,9.2,7.2726,2.3,1.6192017
1,749.4593,71.170044,9.2,9.2,7.2726,2.3,1.6192017
日,753.1301,71.170044,9.2,9.2,7.2726,2.3,2.7600098
寺,755.78015,71.170044,9.2,9.2,7.2726,2.3,5.6395874
5,762.5001,71.170044,9.2,9.2,7.2726,2.3,3.8364258
0,767.4301,71.170044,9.2,9.2,7.2726,2.3,3.781189
分,772.2313,71.170044,9.2,9.2,7.2726,2.3,8.399597
0,781.65094,71.170044,9.2,9.2,7.2726,2.3,3.781189
1,787.5901,71.170044,9.2,9.2,7.2726,2.3,1.6192017
秒,791.1293,71.170044,9.2,9.2,7.2726,2.3,8.822815
首,389.05008,85.31003,13.9,13.9,8.472051,3.475,11.759399
次,402.36948,85.31003,13.9,13.9,8.472051,3.475,12.482208
申,417.61008,85.31003,13.9,13.9,8.472051,3.475,8.645813
報,429.13586,85.31003,13.9,13.9,8.472051,3.475,12.482208
第,698.5301,86.76004,9.2,9.2,7.2726,2.3,6.9644165
1,713.1701,86.25363,9.2,9.2,7.2726,2.3,1.6192017
0,716.8293,86.25363,9.2,9.2,7.2726,2.3,3.781189
頁,727.3401,86.76004,9.2,9.2,7.2726,2.3,6.7803955
／,735.7405,86.76004,9.2,9.2,7.2726,2.3,5.6395874
共,742.2301,86.76004,9.2,9.2,7.2726,2.3,8.096008
2,756.1501,86.76004,9.2,9.2,7.2726,2.3,3.9008179
5,761.19086,86.76004,9.2,9.2,7.2726,2.3,3.8364258
頁,771.3901,87.016846,9.2,9.2,7.2726,2.3,6.8355713
序,40.080082,106.130035,22.65,22.65,7.3725753,5.6625,10.192501
號,51.472584,106.130035,22.65,22.65,7.3725753,5.6625,10.554901
交,83.640076,106.28003,22.65,22.65,7.3725753,5.6625,9.354446
易,96.114525,106.28003,22.65,22.65,7.3725753,5.6625,7.429199
日,108.37007,106.28003,22.65,22.65,7.3725753,5.6625,5.7530975
期,118.083176,106.28003,22.65,22.65,7.3725753,5.6625,9.490349
